procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485712 5988828 29517548 175794128    0    0     0   352 7675 9600  3  0 96  0  0	
 1  0 485712 5988276 29517548 175794176    0    0     0   403 3872 4964  0  0 100  0  0	
 0  0 485712 5984932 29517548 175794256    0    0     4   434 9064 14084  2  0 98  0  0	
 1  0 485712 5982588 29517548 175794272    0    0     0   490 3949 4830  1  0 99  0  0	
15  0 485712 5984596 29517548 175794464    0    0     0   277 3595 4907  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485712 5979556 29517548 175794464    0    0     0   234 8001 12196  2  0 98  0  0	
 1  0 485712 5981348 29517548 175794528    0    0     0  1159 3826 5096  0  0 100  0  0	
 0  0 485712 5985760 29517548 175794592    0    0     0   296 8849 11841  4  0 96  0  0	
 1  0 485712 5983884 29517548 175794752    0    0     0   375 4554 5587  1  0 99  0  0	
 6  0 485712 5987540 29517548 175794800    0    0     0   396 4065 5291  1  0 99  0  0	
 1  0 485712 5984340 29517548 175794800    0    0     0   200 7663 11951  1  0 98  0  0	
 1  0 485712 5983704 29517548 175794864    0    0     0   984 4166 5282  0  0 99  0  0	
 0  0 485712 6061316 29517548 175795056    0    0     0   434 10089 14642  4  0 96  0  0	
 1  0 485712 6062064 29517548 175795200    0    0     0   410 4192 5039  0  0 99  0  0	
 1  0 485712 6063072 29517548 175795248    0    0     0   378 3549 4642  0  0 100  0  0	
 1  0 485712 6058736 29517548 175795296    0    0     0   314 8467 12171  2  0 98  0  0	
 0  0 485712 6059532 29517552 175795360    0    0     0   921 3605 4893  0  0 99  0  0	
 1  0 485712 6061028 29517552 175795408    0    0     0   332 8435 12212  4  0 96  0  0	
 1  0 485712 6058888 29517552 175795440    0    0     0   440 3376 4380  0  0 100  0  0	
 5  0 485712 5979192 29517552 175795680    0    0     4   474 5222 5354  2  1 97  0  0	
 1  0 485712 5980572 29517552 175795712    0    0     0   322 8260 12758  2  0 98  0  0	
 2  0 485712 5979588 29517552 175795776    0    0     0   609 4185 5290  0  0 99  0  0	
 1  0 485712 5971984 29517552 175795840    0    0     0   250 10226 14377  2  0 98  0  0	
 1  0 485712 6009272 29517552 175796016    0    0     4   513 4362 5191  0  0 99  0  0	
 1  0 485712 6010872 29517552 175796128    0    0     0   431 3394 4359  0  0 100  0  0	
 1  0 485712 6011216 29517552 175796128    0    0     0   208 8997 13309  4  0 96  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485712 6013680 29517552 175796192    0    0     0   747 3870 5103  0  0 100  0  0	
 0  0 485712 6040776 29517552 175796272    0    0     0   356 8165 11592  2  0 98  0  0	
 1  0 485712 6039476 29517552 175796416    0    0     0   251 4007 4843  0  0 99  0  0	
 1  0 485712 6039292 29517552 175796464    0    0     0   351 3490 4681  0  0 100  0  0	
 0  0 485712 6036080 29517552 175796480    0    0     0   328 9483 13630  2  1 97  0  0	
 1  0 485712 6033428 29517552 175796544    0    0     0  1350 4416 5070  0  0 99  0  0	
 1  0 485712 6032272 29517552 175796608    0    0     0   344 9012 12849  4  0 95  1  0	
 0  0 485712 6043012 29517552 175796736    0    0     0   432 4302 4764  0  0 99  0  0	
 1  0 485712 6046780 29517552 175796816    0    0     0   230 3491 4290  0  0 100  0  0	
 1  0 485712 6046116 29517552 175796832    0    0     0   234 9132 13799  2  0 98  0  0	
 0  0 485712 6047516 29517552 175796880    0    0     0  1200 3675 4802  0  0 100  0  0	
 0  0 485712 6053092 29517552 175796928    0    0     0   204 9100 13611  2  0 98  0  0	
 1  0 485712 6054772 29517552 175796992    0    0     0   279 3607 4462  0  0 100  0  0	
 1  0 485712 6055272 29517552 175797136    0    0     0   314 3537 4352  0  0 100  0  0	
