procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485476 6489660 29517576 175849952    0    0     0   372 4660 5389  1  0 99  0  0	
 1  0 485476 6492288 29517576 175850016    0    0     4  1102 9712 14058  3  0 97  0  0	
 2  0 485476 6492980 29517576 175850064    0    0    14   303 3616 4475  0  0 99  0  0	
 1  0 485476 6498020 29517576 175850304    0    0    24   314 8736 11707  5  0 95  0  0	
 2  0 485476 6485232 29517576 175850336    0    0    14   376 4480 5192  1  0 99  0  0	
 0  0 485476 6484500 29517576 175850432    0    0    20   293 3725 4655  1  0 99  0  0	
 1  0 485476 6485164 29517576 175850496    0    0     4   898 9284 13271  2  0 98  0  0	
 2  0 485476 6487676 29517576 175850688    0    0    12   430 4145 5112  1  0 99  0  0	
 1  0 485476 6481932 29517576 175850752    0    0     0   240 9460 13600  3  0 97  0  0	
 1  0 485476 6482096 29517576 175850752    0    0     0   296 3848 4769  1  0 99  0  0	
 2  0 485476 6479404 29517576 175850816    0    0     0   364 4684 5311  2  0 98  0  0	
 1  1 485472 6478240 29517576 175850880    2    0    74   768 12587 13622  2  2 96  0  0	
 0  0 485456 6483516 29517576 175851856    2    0   344   358 8242 6257  2  2 97  0  0	
 1  0 485456 6481728 29517576 175851936    0    0     0   380 9189 13255  5  0 95  0  0	
 1  0 485456 6479092 29517576 175851936    0    0     0   268 3962 4704  0  0 99  0  0	
 0  0 485456 6480296 29517576 175851984    0    0     0   325 3541 4746  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 485456 6480724 29517576 175852048    0    0     0  1014 8676 13480  2  0 98  0  0	
 3  0 485456 6541204 29517576 175852192    0    0     0   332 3916 4886  0  0 99  0  0	
 0  0 485456 6593204 29517576 175852320    0    0     0   475 8888 13202  2  0 98  0  0	
 1  0 485456 6603436 29517576 175852352    0    0     6   524 4143 4841  1  0 99  0  0	
 4  0 485456 6599864 29517576 175852416    0    0     0   400 4808 4969  0  1 99  0  0	
 3  0 485456 6612032 29517576 175852608    0    0     0   562 17919 14869  5  3 91  0  0	
 1  0 485456 6609308 29517576 175852656    0    0     0   468 5145 6023  2  0 98  0  0	
 0  0 485456 6607352 29517576 175852880    0    0     0   275 8310 12515  2  0 98  0  0	
 1  0 485456 6604180 29517576 175852896    0    0     0   202 3621 4565  0  0 100  0  0	
 1  0 485456 6603960 29517576 175852976    0    0     0   362 3935 4855  0  0 99  0  0	
 1  0 485456 6601572 29517576 175853040    0    0     0   801 8712 13243  2  0 98  0  0	
 1  0 485456 6600292 29517576 175853184    0    0     0   256 3970 4597  0  0 99  0  0	
 1  0 485456 6602596 29517576 175853232    0    0     0   244 8446 12944  2  0 98  0  0	
 1  0 485456 6591492 29517576 175853248    0    0     0   276 4624 5055  1  1 99  0  0	
 3  0 485456 6627176 29517576 175833472    0    0     2  3414 5610 6325  2  1 97  0  0	
 3  0 485456 6660052 29517576 175833616    0    0     0   784 11473 14218  0  3 96  0  0	
 2  0 485456 6637576 29517576 175845088    0    0     0  5933 11377 14003  8  1 92  0  0	
 1  0 485456 6646144 29517576 175832832    0    0     0 11008 9333 12412  7  0 93  0  0	
 1  0 485456 6644816 29517576 175832848    0    0     0   378 4459 5056  0  0 99  0  0	
 1  0 485456 6626000 29517576 175832912    0    0     0   239 3745 4597  0  0 99  0  0	
 0  0 485456 6532432 29517576 175832992    0    0     0   938 13335 15829  4  1 95  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 485456 6433524 29517576 175833152    0    0     0   467 23423 16343  9  4 86  0  0	
 7  0 485456 6439976 29517576 175833200    0    0     0   198 22062 22886 12  2 86  0  0	
 8  0 485456 6442276 29517576 175833216    0    0     0   180 14554 13734  7  1 91  0  0	
 9  0 485456 6444032 29517576 175833280    0    0     6   342 10823 10978  5  1 94  0  0	
 3  0 485456 6444948 29517576 175833360    0    0     0   762 19421 21230  9  2 89  0  0	
 6  0 485456 6431512 29517580 175833376    0    0     1   291 16439 14966  9  2 90  0  0	
 5  0 485456 6433668 29517580 175833568    0    0     0   352 22062 23989 10  2 88  0  0	
 6  0 485456 6433380 29517580 175833584    0    0     0   232 17628 15246  9  3 89  0  0	
 3  0 485456 6442036 29517580 175833648    0    0     0   317 20973 15306  8  5 87  0  0	
 4  0 485456 6446980 29517580 175833760    0    0    22   886 22617 23136 13  2 85  0  0	
 5  0 485456 6446908 29517580 175833968    0    0    34   273 17108 15483  9  2 89  0  0	
 9  0 485456 6440712 29517580 175834080    0    0     0   464 22995 24633 11  2 87  0  0	
 2  0 485456 6440488 29517580 175834112    0    0     0   374 19542 16731 11  2 86  0  0	
 4  0 485456 6436092 29517580 175834160    0    0     0   307 13285 13139  7  1 92  0  0	
 4  0 485456 6478104 29517580 175834240    0    0     0   514 19940 22669  8  2 90  0  0	
 4  0 485456 6477184 29517580 175834288    0    0     0   430 16821 15421  9  2 90  0  0	
