procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1 485740 5707364 30240392 174637248    0    0   417  7950 23901 19869 20  2 76  3  0	
11  2 485740 5695900 30240616 174637344    0    0   117  3760 20480 18444 20  1 76  2  0	
 8  1 485740 5680612 30241080 174637120    0    0   256  2562 19997 18033 21  1 76  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  1 485736 5657104 30241380 174637536    0    0   202  2010 19089 17455 18  1 78  3  0	
 9  1 485736 5648800 30241684 174637440    0    0   179  2831 19887 17315 20  1 76  3  0	
 4  1 485736 5639928 30241892 174637584    0    0   124  2064 19106 17528 16  1 80  3  0	
 5  1 485736 5635004 30242512 174637376    0    0   369  2663 19518 17794 18  1 78  2  0	
 6  1 485736 5631808 30243784 174637248    0    0   746  1844 18075 15919 15  1 81  3  0	
 3  2 485736 5618624 30245124 174637568    0    0   708  1758 19165 17432 15  1 81  3  0	
 9  1 485736 5615392 30246480 174637552    0    0   746  2764 17233 15592 14  1 82  3  0	
 7  1 485736 5610880 30248204 174637616    0    0   981  1884 18660 18127 12  1 84  3  0	
 6  1 485736 5605336 30249352 174637856    0    0   693  3789 18820 17031 15  1 81  3  0	
 4  1 485736 5599116 30250612 174637824    0    0   731  2402 20063 17834 18  1 78  3  0	
10  1 485736 5591692 30252180 174638192    0    0   842  2388 21214 19223 19  1 77  3  0	
10  2 485736 5584736 30253740 174638048    0    0   928  3681 20244 18189 19  1 77  3  0	
 5  1 485736 5525360 30255080 174638064    0    0   773  2537 21469 19100 20  2 76  3  0	
 7  1 485736 5520800 30256296 174638320    0    0   726  4276 20339 18412 17  1 79  3  0	
20  2 485736 5559828 30257812 174638704    0    0   865  2206 21106 18050 21  1 75  3  0	
 6  1 485736 5556656 30258060 174638656    0    0   152  8266 20033 17851 16  1 78  5  0	
 5  1 485736 5556400 30258320 174638672    0    0   163  2715 18497 17016 18  1 78  3  0	
11  1 485736 5550044 30258864 174638784    0    0   314  1698 17564 16151 17  1 79  3  0	
 4  1 485736 5544336 30259156 174638784    0    0   198  2288 17239 15666 15  1 82  2  0	
 2  1 485736 5543812 30259560 174638800    0    0   252  1895 14579 13705 11  1 85  3  0	
11  1 485736 5543012 30259568 174639072    0    0    17  1702 16248 15477 14  1 82  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 485736 5575136 30259816 174639072    0    0   160  2022 16060 15192 13  1 83  3  0	
12  1 485736 5591920 30261416 174638464    0    0   889  2186 21333 19682 16  2 79  3  0	
 3  1 485736 5542448 30262572 174638848    0    0   665  2556 22543 20181 19  2 77  3  0	
 6  1 485736 5536032 30263816 174638880    0    0   755  4013 23633 21105 22  1 74  3  0	
14  1 485736 5532624 30265192 174639232    0    0   769  2756 22010 19830 19  1 77  3  0	
 3  1 485736 5527528 30266708 174639040    0    0   793  3727 20920 18820 20  1 76  3  0	
11  1 485736 5500076 30268300 174639216    0    0   876  2476 22852 19802 21  1 75  3  0	
 3  1 485736 5504836 30269596 174639392    0    0   784  2444 19693 17395 19  1 77  3  0	
 4  1 485736 5498752 30270908 174640032    0    0   794  3140 19797 17971 17  1 79  3  0	
 1  1 485736 5496576 30272084 174639776    0    0   695  1581 17472 15739 13  1 83  3  0	
 2  1 485736 5495904 30273556 174639744    0    0   792  2780 18037 16526 15  1 81  3  0	
 8  1 485736 5512428 30274760 174639904    0    0   713  7481 25871 17879 13  4 80  3  0	
 2  1 485736 5516924 30274928 174640128    0    0   110  1822 17975 16184 15  3 79  3  0	
 3  1 485736 5512028 30275184 174640208    0    0   149  2813 14721 13789 12  1 85  2  0	
 6  1 485736 5507204 30275376 174640336    0    0   145  1940 18181 16186 18  1 79  2  0	
15  1 485736 5493884 30275424 174640400    0    0    45  2431 18288 16954 16  1 80  3  0	
 7  1 485736 5484624 30275492 174640464    0    0    32  2778 19540 18047 19  1 78  2  0	
 4  1 485736 5477408 30275968 174640512    0    0   299  2294 21128 19372 19  1 77  3  0	
 5  1 485736 5462188 30277108 174640208    0    0   698  2876 21810 18758 21  1 75  3  0	
 2  1 485736 5453588 30278472 174640912    0    0   801  3148 21676 19001 21  1 75  3  0	
 6  1 485736 5448084 30279860 174640480    0    0   828  3136 19106 17447 18  1 78  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 485736 5443296 30281476 174640704    0    0   929  1823 19475 17302 17  1 79  3  0	
10  1 485736 5437688 30283016 174640384    0    0   835  1658 16820 16025 12  1 84  3  0	
 3  1 485736 5495228 30284084 174640480    0    0   669  3043 18598 16160 17  1 79  2  0	
 6  1 485736 5471532 30284996 174640736    0    0   609  2431 17841 16693 13  1 82  3  0	
 2  1 485736 5470440 30286508 174641280    0    0   865  2781 17804 16550 14  1 82  3  0	
 8  1 485736 5462964 30287864 174640768    0    0   827  1956 18511 17151 15  1 82  3  0	
 9  1 485736 5461672 30288944 174640976    0    0   712  2306 20312 18740 17  1 79  3  0	
11  1 485736 5388260 30290832 174641312    0    0  1139  3779 22789 20016 20  2 75  3  0	
 8  1 485736 5375248 30291704 174641440    0    0   502  9085 24126 20176 21  1 76  2  0	
10  1 485736 5375476 30291828 174641648    0    0    69  3394 20118 17580 21  1 76  2  0	
 8  1 485736 5369708 30292064 174641712    0    0   147  2602 21391 18733 23  1 74  2  0	
12  1 485736 5366360 30292104 174641808    0    0    26  1968 17560 17244 14  1 82  3  0	
 3  1 485736 5365016 30292252 174641792    0    0   108  2036 17040 15372 17  1 80  3  0	
 1  1 485736 5378940 30292404 174642048    0    0   101  2550 19223 16948 17  2 78  3  0	
 3  1 485736 5363256 30292792 174642016    0    0   253  1994 16573 15677 15  1 81  3  0	
 1  1 485736 5359552 30293480 174641808    0    0   386  1768 16220 15498 12  1 84  3  0	
10  1 485736 5353344 30294920 174641792    0    0   783  1569 17332 15832 14  1 83  3  0	
 5  1 485736 5347936 30296256 174641840    0    0   758  2679 18549 16882 15  1 81  3  0	
 8  1 485736 5343308 30298116 174642432    0    0  1163  2485 20715 18366 18  1 78  3  0	
 2  1 485736 5343360 30299680 174642000    0    0   940  4129 20397 19127 17  1 79  3  0	
 8  1 485736 5337632 30300664 174641968    0    0   640  2328 21663 19670 21  1 76  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1 485736 5330220 30302024 174642096    0    0   840  2591 21127 19155 20  1 77  2  0	
13  1 485736 5303652 30303516 174642016    0    0   860  3579 20810 18692 19  1 78  3  0	
 5  1 485736 5297176 30305292 174642000    0    0  1048  2588 20653 18621 18  1 78  3  0	
10  1 485736 5292248 30306608 174642656    0    0   783  3785 21214 19176 19  1 77  3  0	
 4  1 485736 5286784 30308072 174642480    0    0   934  2092 19760 17814 17  1 79  3  0	
 8  1 485736 5285188 30308136 174643072    0    0    40  7675 18436 14920 15  1 82  2  0	
 8  1 485736 5280956 30308324 174643040    0    0   128  2645 18126 16845 15  1 81  3  0	
11  1 485736 5272972 30308340 174643248    0    0    17  2086 15394 14251 14  1 82  3  0	
 3  1 485736 5241144 30308624 174643184    0    0   161  1786 16468 16014 13  1 83  3  0	
