procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 484504 5542172 29511400 176500384    0    0     0   486 4171 5405  0  0 99  0  0	
 0  0 484504 5544268 29511400 176500448    0    0     0   767 4418 5188  2  0 98  0  0	
 1  0 484504 5541472 29511400 176500720    0    0     0   818 4048 5082  1  0 99  0  0	
 1  0 484504 5541668 29511400 176500832    0    0     0   353 3866 4953  0  0 99  0  0	
 1  0 484504 5541856 29511400 176500864    0    0     0   280 3331 4264  0  0 100  0  0	
 0  0 484504 5543288 29511400 176500912    0    0     0   423 3808 5117  0  0 100  0  0	
 1  0 484504 5546420 29511400 176500992    0    0     0   298 4238 5616  0  0 99  0  0	
 1  0 484504 5544872 29511400 176501152    0    0     0   542 4072 5435  0  0 99  0  0	
 2  0 484504 5541564 29511400 176501264    0    0     0   238 4007 4566  0  0 99  0  0	
 3  0 484504 5540844 29511400 176501280    0    0     0   207 3341 4479  0  0 100  0  0	
 1  0 484504 5537892 29511400 176501344    0    0     4   358 3999 5150  0  0 99  0  0	
 4  0 484504 5533484 29511400 176501408    0    0     0   472 3988 4833  0  0 99  0  0	
 5  0 484504 5529176 29511400 176501568    0    0     4  1034 4483 5356  2  0 98  0  0	
 0  0 484504 5529412 29511400 176501600    0    0     0   450 3543 4405  1  0 99  0  0	
 1  0 484504 5527360 29511400 176501600    0    0     0   432 3963 4500  0  0 99  0  0	
 1  0 484504 5529964 29511400 176501664    0    0     0   380 3980 5071  0  0 99  0  0	
 2  0 484504 5527172 29511400 176501744    0    0     0   260 3677 4594  0  0 99  0  0	
 1  0 484504 5522136 29511400 176501904    0    0     0   892 4248 5112  1  0 99  0  0	
 1  0 484504 5522068 29511400 176501952    0    0     0   282 3348 4283  0  0 100  0  0	
 1  0 484504 5517564 29511400 176501968    0    0     0   176 3493 4439  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484504 5502656 29511400 176502016    0    0     0   525 4617 5261  0  0 99  0  0	
 1  0 484504 5500472 29511400 176502080    0    0     0   250 3866 4698  0  0 100  0  0	
 1  0 484504 5485792 29511400 176502208    0    0     0   778 3954 4945  1  0 99  0  0	
 0  0 484504 5480316 29511400 176502288    0    0     0   306 4144 4707  2  0 97  0  0	
 2  0 484504 5471284 29511400 176502304    0    0     0   246 3549 4718  0  0 99  0  0	
 1  0 484504 5471332 29511400 176502368    0    0     0   328 3759 5114  0  0 100  0  0	
 0  0 484504 5467676 29511400 176502416    0    0     4   384 3973 4865  0  0 99  0  0	
 2  0 484504 5463028 29511400 176502576    0    0     0  1034 4773 5510  2  0 98  0  0	
 1  0 484504 5462584 29511400 176502640    0    0     0   624 4035 4967  1  0 99  0  0	
 3  0 484504 5462128 29511400 176502656    0    0     0   335 4234 4894  0  0 99  0  0	
 1  0 484504 5398372 29511400 176502704    0    0     0   394 3887 4850  1  1 99  0  0	
 1  0 484504 5385168 29511400 176502752    0    0     0   229 3410 4230  1  0 99  0  0	
 5  0 484504 5381208 29511400 176502912    0    0     0   856 8998 5581  1  2 98  0  0	
 0  0 484504 5399980 29511400 176503120    0    0    52   382 5432 5293  0  2 97  0  0	
 1  0 484504 5414332 29511400 176503136    0    0     0   248 3895 4657  0  0 99  0  0	
 1  0 484504 5412800 29511400 176503200    0    0     4   515 3916 5185  0  0 99  0  0	
 1  0 484504 5413780 29511400 176503280    0    0     0   293 4546 5950  0  0 99  0  0	
 1  0 484504 5363432 29511400 176503456    0    0     4   760 5426 6201  1  1 98  0  0	
 3  0 484504 5363736 29511400 176503552    0    0     0   250 4763 4510  0  1 99  0  0	
 1  0 484504 5371520 29511400 176503568    0    0     0   607 5462 5432  2  3 96  0  0	
 1  0 484504 5370244 29511400 176503632    0    0     0   418 3871 5010  1  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484504 5367740 29511400 176503696    0    0    98   364 4026 5037  1  0 99  0  0	
 1  0 484504 5363976 29511400 176504160    0    0    82   603 3985 5063  0  0 99  0  0	
 1  0 484504 5362208 29511400 176504256    0    0     0   146 3562 4768  0  0 100  0  0	
 0  0 484504 5356284 29511400 176504256    0    0     0   334 3882 5090  0  0 99  0  0	
 1  0 484504 5345284 29511400 176504336    0    0    16   508 6324 7424  1  0 98  0  0	
 1  0 484504 5282164 29511400 176504432    0    0     0   382 5935 6401  1  1 98  0  0	
 1  0 484504 5213560 29511400 176504608    0    0     0  1328 6153 7105  1  1 98  0  0	
 1  0 484504 5122580 29511400 176504672    0    0     4   637 6887 8060  2  1 97  0  0	
 9  1 484504 4934468 29511400 176504704    0    0     0   940 7341 8454  2  1 96  0  0	
 1  0 484504 4723992 29511400 176504784    0    0     0  1343 10188 11095  7  1 91  0  0	
12  0 484504 4425736 29511400 176504944    0    0    48  3480 19709 18058 20  2 77  0  0	
19  0 484504 4346752 29511400 176505136    0    0     0  5026 26847 22814 37  2 61  0  0	
 1  0 484504 4322272 29511400 176505184    0    0     0  3563 18376 17609 19  1 79  0  0	
 2  0 484504 4313392 29511400 176505200    0    0     8  1830 9040 10240  6  1 93  0  0	
 1  0 484504 4299284 29511400 176505312    0    0     0  1712 11295 12889  8  1 92  0  0	
 2  0 484504 4291684 29511400 176505376    0    0     0  1338 8300 9075  6  0 94  0  0	
 7  0 484504 4275536 29511400 176505552    0    0     0  2640 14181 13588 14  1 85  0  0	
11  0 484496 4231148 29511400 176505648    0    0     0  2370 16869 14709 21  1 78  0  0	
 1  0 484496 4227032 29511400 176505648    0    0     0  2046 13651 12423 14  1 85  0  0	
 3  0 484496 4217272 29511400 176505728    0    0     0  1716 13998 13095 16  1 83  0  0	
 0  0 484496 4210708 29511400 176505776    0    0     0  1298 9242 9774  7  0 92  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 484496 4200024 29511400 176505824    0    0     0  2426 12502 13232 10  1 89  0  0	
 1  0 484496 4195448 29511400 176506064    0    0     0  2106 12164 12452 11  1 88  0  0	
 5  0 484496 4186848 29511400 176506208    0    0     0  2068 13228 12913 14  1 85  0  0	
 2  0 484496 4178984 29511400 176506304    0    0     0  2181 14165 15237 13  1 87  0  0	
 9  0 484492 4172036 29511400 176506384    0    0     0  2405 16975 16392 17  1 82  0  0	
12  1 484492 4148936 29511400 176506608    0    0   280  2800 16404 16061 17  1 81  0  0	
 5  0 484492 4140376 29511400 176507392    0    0    60  2536 15308 15150 16  1 83  0  0	
18  0 484492 4134584 29511400 176507424    0    0     0  1890 12678 12506 13  1 86  0  0	
 5  0 484484 4121608 29511400 176507520    2    0     2  2228 14366 14171 13  1 86  0  0	
 5  0 484484 4178608 29511400 176507616    0    0     0  2108 12776 12393 13  1 86  0  0	
 1  0 484484 4177076 29511400 176507776    0    0     0  2102 13163 13281 12  1 87  0  0	
 3  0 484484 4175132 29511400 176507840    0    0     0  1288 11858 11785 12  0 87  0  0	
 5  0 484484 4171596 29511400 176507872    0    0     0  1648 11107 11542 10  1 89  0  0	
 3  0 484484 4170288 29511400 176507968    0    0     0  1874 11399 12272  9  1 90  0  0	
 3  0 484484 4167248 29511400 176508064    0    0     0  1924 13618 13530 13  1 86  0  0	
 3  0 484484 4160416 29511400 176508256    0    0     0  2511 13459 13834 12  1 87  0  0	
 4  0 484484 4154816 29511400 176508288    0    0     0  2436 15108 14992 15  1 84  0  0	
16  0 484484 4149808 29511400 176508448    0    0     0  1944 13603 12768 15  1 84  0  0	
 2  0 484484 4144456 29511400 176508544    0    0     0  2613 15521 15438 16  1 84  0  0	
 9  1 484484 4139128 29511400 176508608    0    0     0  2238 14881 14429 16  1 84  0  0	
 9  0 484476 4139776 29511400 176508848    2    0    22  2632 14942 14421 15  1 84  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484476 4133832 29511400 176508912    0    0     0  2582 14201 13953 15  1 84  0  0	
 9  0 484476 4130444 29511400 176508944    0    0     0  1508 10726 11141 10  0 90  0  0	
 2  0 484476 4125548 29511400 176509040    0    0     0  1704 13140 12813 14  1 86  0  0	
 5  0 484476 4137384 29511400 176509120    0    0     0  1696 11934 12182 11  1 88  0  0	
 4  0 484476 4134856 29511400 176509296    0    0     0  2098 11521 12345 10  1 89  0  0	
 1  0 484476 4135404 29511400 176509376    0    0     0  1171 9044 10041  6  0 93  0  0	
 7  0 484476 4130700 29511400 176509408    0    0     0  1910 11536 11551 10  1 90  0  0	
 0  1 484476 4125812 29511400 176509504    0    0     0  2010 12884 13096 12  1 87  0  0	
12  0 484476 4113860 29511400 176509584    0    0     0  1967 15575 14702 17  1 82  0  0	
 6  0 484476 4126808 29511400 176509760    0    0     0  2708 15643 15060 16  1 84  0  0	
 8  0 484476 4151744 29511400 176509872    0    0     0  2430 15447 14359 17  1 83  0  0	
 8  0 484476 4145920 29511400 176509920    0    0     0  2098 13977 14059 13  1 87  0  0	
 2  0 484476 4142688 29511400 176510000    0    0     0  2738 15552 14944 14  1 85  0  0	
 3  0 484476 4136424 29511400 176510112    0    0     4  1953 14614 14375 15  1 84  0  0	
 1  0 484476 4130244 29511400 176510304    0    0     0  2192 15715 14838 16  1 83  0  0	
 6  0 484476 4115060 29511404 176510416    0    0     0  2292 15631 14521 18  1 81  0  0	
 9  0 484476 4116828 29511404 176510448    0    0     0  1575 11476 11523 12  1 87  0  0	
 3  0 484476 4048736 29511404 176510576    0    0    12  1772 12594 12633 10  1 88  0  0	
 5  0 484476 4056412 29511404 176510656    0    0     0  1566 12141 12193 11  1 88  0  0	
 6  0 484476 4052848 29511404 176510832    0    0     0  2198 13411 13161 13  1 86  0  0	
 7  0 484476 4020608 29511404 176510896    0    0     0  1826 13929 13427 12  1 87  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 484476 4012352 29511404 176510944    0    0     0  2233 14235 13621 14  1 85  0  0	
13  0 484476 4004364 29511404 176511024    0    0     0  2731 15335 15056 16  1 83  0  0	
14  0 484476 3999900 29511404 176511264    0    0     8  2236 14033 14269 14  1 85  0  0	
 7  0 484476 3989384 29511404 176511456    0    0     0  3132 17412 16168 20  1 79  0  0	
 1  0 484476 3982204 29511404 176511504    0    0     0  2236 15951 15784 18  1 82  0  0	
 7  0 484476 3971028 29511404 176511552    0    0     0  1894 14673 14146 15  1 84  0  0	
 4  0 484476 3967072 29511404 176511632    0    0     0  1998 12076 12151 11  1 89  0  0	
 6  0 484476 3975544 29511404 176511712    0    0     0  1486 11355 11313  9  0 90  0  0	
 8  0 484476 3978808 29511404 176512016    0    0    52  2334 13395 12803 14  1 85  0  0	
 4  0 484476 3985976 29511404 176512064    0    0     0  2023 12411 12622 12  1 87  0  0	
10  0 484476 3979036 29511404 176512096    0    0     0  1804 12618 12670 12  1 87  0  0	
